Reputation Number,Gas Used
1,247443
2,230355
3,230355
4,230355
5,230355
6,230355
7,230355
8,230355
9,230331
10,230355
11,230355
12,230355
13,230355
14,230355
15,230343
16,230355
17,230355
18,230355
19,230355
20,230355
21,230355
22,230355
23,230355
24,230355
25,230355
26,230355
27,230355
28,230355
29,230355
30,230355
31,230355
32,230355
33,230355
34,230355
35,230355
36,230355
37,230355
38,230355
39,230355
40,230355
41,230355
42,230343
43,230355
44,230355
45,230355
46,230343
47,230355
48,230355
49,230355
50,230355
51,230355
52,230355
53,230355
54,230343
55,230355
56,230355
57,230355
58,230355
59,230355
60,230355
61,230343
62,230343
63,230355
64,230355
65,230355
66,230355
67,230355
68,230355
69,230355
70,230343
71,230355
72,230355
73,230355
74,230355
75,230355
76,230355
77,230355
78,230355
79,230355
80,230355
81,230355
82,230355
83,230355
84,230355
85,230355
86,230355
87,230355
88,230355
89,230355
90,230355
91,230355
92,230355
93,230355
94,230355
95,230355
96,230355
97,230355
98,230355
99,230355
100,230355
101,230355
102,230355
103,230355
104,230355
105,230355
106,230355
107,230355
108,230355
109,230355
110,230355
111,230355
112,230355
113,230355
114,230355
115,230355
116,230355
117,230355
118,230355
119,230355
120,230355
121,230355
122,230355
123,230343
124,230355
125,230355
126,230355
127,230355
128,230355
129,230355
130,230355
131,230355
132,230355
133,230355
134,230355
135,230355
136,230355
137,230355
138,230355
139,230355
140,230355
141,230355
142,230355
143,230355
144,230343
145,230355
146,230355
147,230355
148,230355
149,230343
150,230355
151,230355
152,230355
153,230343
154,230343
155,230355
156,230355
157,230343
158,230355
159,230355
160,230355
161,230355
162,230355
163,230355
164,230355
165,230355
166,230355
167,230355
168,230343
169,230355
170,230343
171,230355
172,230355
173,230355
174,230355
175,230343
176,230355
177,230355
178,230355
179,230355
180,230355
181,230355
182,230355
183,230355
184,230343
185,230355
186,230355
187,230355
188,230355
189,230355
190,230355
191,230355
192,230355
193,230355
194,230355
195,230355
196,230355
197,230355
198,230355
199,230355
200,230355
201,230355
202,230355
203,230343
204,230355
205,230355
206,230355
207,230355
208,230355
209,230355
210,230355
211,230355
212,230355
213,230355
214,230355
215,230355
216,230355
217,230355
218,230355
219,230355
220,230331
221,230355
222,230343
223,230355
224,230355
225,230355
226,230355
227,230355
228,230355
229,230355
230,230343
231,230355
232,230355
233,230355
234,230355
235,230355
236,230343
237,230355
238,230355
239,230355
240,230355
241,230355
242,230355
243,230355
244,230355
245,230355
246,230355
247,230355
248,230355
249,230355
250,230355
251,230355
252,230343
253,230355
254,230355
255,230355
256,230355
257,230355
258,230355
259,230355
260,230355
261,230355
262,230355
263,230355
264,230355
265,230355
266,230355
267,230355
268,230355
269,230355
270,230355
271,230355
272,230355
273,230355
274,230355
275,230355
276,230355
277,230355
278,230355
279,230355
280,230355
281,230355
282,230343
283,230355
284,230355
285,230355
286,230355
287,230355
288,230355
289,230355
290,230355
291,230355
292,230355
293,230355
294,230355
295,230355
296,230355
297,230355
298,230355
299,230355
300,230355
301,230355
302,230355
303,230355
304,230355
305,230355
306,230355
307,230355
308,230355
309,230355
310,230355
311,230355
312,230355
313,230355
314,230355
315,230355
316,230355
317,230355
318,230355
319,230355
320,230355
321,230355
322,230355
323,230355
324,230355
325,230355
326,230355
327,230355
328,230355
329,230355
330,230355
331,230355
332,230355
333,230355
334,230355
335,230355
336,230355
337,230355
338,230355
339,230355
340,230355
341,230355
342,230355
343,230355
344,230355
345,230355
346,230355
347,230355
348,230355
349,230355
350,230355
351,230355
352,230355
353,230355
354,230355
355,230355
356,230355
357,230355
358,230355
359,230355
360,230355
361,230355
362,230355
363,230355
364,230355
365,230355
366,230355
367,230355
368,230355
369,230355
370,230343
371,230355
372,230355
373,230355
374,230355
375,230355
376,230355
377,230355
378,230355
379,230355
380,230355
381,230355
382,230355
383,230355
384,230355
385,230355
386,230355
387,230355
388,230355
389,230355
390,230355
391,230355
392,230355
393,230355
394,230355
395,230355
396,230355
397,230355
398,230355
399,230343
400,230355
401,230355
402,230355
403,230355
404,230343
405,230355
406,230355
407,230355
408,230355
409,230355
410,230355
411,230355
412,230355
413,230343
414,230355
415,230355
416,230355
417,230355
418,230355
419,230355
420,230355
421,230355
422,230355
423,230355
424,230355
425,230355
426,230355
427,230355
428,230355
429,230355
430,230355
431,230355
432,230355
433,230355
434,230355
435,230355
436,230355
437,230355
438,230355
439,230355
440,230355
441,230355
442,230355
443,230355
444,230355
445,230355
446,230343
447,230343
448,230355
449,230355
450,230343
451,230355
452,230355
453,230355
454,230355
455,230355
456,230355
457,230343
458,230355
459,230355
460,230355
461,230355
462,230355
463,230355
464,230355
465,230355
466,230355
467,230355
468,230355
469,230355
470,230355
471,230355
472,230355
473,230355
474,230355
475,230355
476,230355
477,230355
478,230355
479,230355
480,230355
481,230355
482,230355
483,230355
484,230355
485,230355
486,230355
487,230355
488,230355
489,230355
490,230355
491,230355
492,230355
493,230355
494,230355
495,230355
496,230355
497,230355
498,230355
499,230343
500,230355
501,230355
502,230355
503,230355
504,230355
505,230355
506,230355
507,230355
508,230355
509,230355
510,230355
511,230355
512,230355
513,230355
514,230355
515,230355
516,230355
517,230355
518,230355
519,230355
520,230355
521,230355
522,230355
523,230355
524,230355
525,230355
526,230355
527,230355
528,230343
529,230355
530,230343
531,230355
532,230355
533,230355
534,230355
535,230355
536,230343
537,230355
538,230355
539,230355
540,230355
541,230355
542,230355
543,230355
544,230355
545,230355
546,230355
547,230355
548,230355
549,230355
550,230355
